2021-04-21 15:38:10,291 INFO    : log id: 20210421_153810
2021-04-21 19:20:57,459 INFO    : 

2021-04-21 19:39:23,719 INFO    : step: 10000 | loss: 1.417313, accuracy_: 50.90%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 19:39:23,721 INFO    : Use val dataset
2021-04-21 19:45:15,156 INFO    : [EVAL] step: 1000 | accuracy: 74.00%
2021-04-21 19:45:15,158 INFO    : 

2021-04-21 20:03:46,379 INFO    : step: 11000 | loss: 1.342156, accuracy_: 50.70%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 20:03:46,383 INFO    : Use val dataset
2021-04-21 20:09:40,521 INFO    : [EVAL] step: 1000 | accuracy: 66.80%
2021-04-21 20:09:40,523 INFO    : 

2021-04-21 20:28:08,738 INFO    : step: 12000 | loss: 1.364004, accuracy_: 50.05%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 20:28:08,740 INFO    : Use val dataset
2021-04-21 20:34:00,161 INFO    : [EVAL] step: 1000 | accuracy: 73.20%
2021-04-21 20:34:00,163 INFO    : 

2021-04-21 20:52:27,449 INFO    : step: 13000 | loss: 1.228130, accuracy_: 49.30%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 20:52:27,452 INFO    : Use val dataset
2021-04-21 20:58:21,724 INFO    : [EVAL] step: 1000 | accuracy: 75.20%
2021-04-21 20:58:21,726 INFO    : 

2021-04-21 21:16:48,525 INFO    : step: 14000 | loss: 1.181677, accuracy_: 49.30%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 21:16:48,528 INFO    : Use val dataset
2021-04-21 21:22:42,191 INFO    : [EVAL] step: 1000 | accuracy: 69.60%
2021-04-21 21:22:42,195 INFO    : 

2021-04-21 21:41:10,572 INFO    : step: 15000 | loss: 1.175789, accuracy_: 47.65%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 21:41:10,575 INFO    : Use val dataset
2021-04-21 21:47:03,534 INFO    : [EVAL] step: 1000 | accuracy: 74.00%
2021-04-21 21:47:03,536 INFO    : 

2021-04-21 22:05:34,593 INFO    : step: 16000 | loss: 1.073058, accuracy_: 51.95%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 22:05:34,596 INFO    : Use val dataset
2021-04-21 22:11:25,891 INFO    : [EVAL] step: 1000 | accuracy: 67.60%
2021-04-21 22:11:25,893 INFO    : 

2021-04-21 22:29:52,123 INFO    : step: 17000 | loss: 1.065155, accuracy_: 50.05%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 22:29:52,125 INFO    : Use val dataset
2021-04-21 22:35:42,632 INFO    : [EVAL] step: 1000 | accuracy: 68.40%
2021-04-21 22:35:42,634 INFO    : 

2021-04-21 22:54:13,911 INFO    : step: 18000 | loss: 1.043397, accuracy_: 48.95%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 22:54:13,914 INFO    : Use val dataset
2021-04-21 23:00:06,977 INFO    : [EVAL] step: 1000 | accuracy: 61.60%
2021-04-21 23:00:06,979 INFO    : 

2021-04-21 23:18:39,480 INFO    : step: 19000 | loss: 0.988614, accuracy_: 51.50%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 23:18:39,483 INFO    : Use val dataset
2021-04-21 23:24:33,529 INFO    : [EVAL] step: 1000 | accuracy: 64.40%
2021-04-21 23:24:33,531 INFO    : 

2021-04-21 23:42:52,092 INFO    : step: 20000 | loss: 0.999487, accuracy_: 47.65%, dis_loss: 0.000000, dis_acc: 0.000000, sen_in_acc: 0.000000, sen_sp_acc: 0.000000
2021-04-21 23:42:52,095 INFO    : Use val dataset
2021-04-21 23:48:37,781 INFO    : [EVAL] step: 1000 | accuracy: 66.80%
2021-04-21 23:48:37,783 INFO    : 

2021-04-21 23:48:37,783 INFO    : 
####################

2021-04-21 23:48:37,784 INFO    : Finish training DAProtoNet-roberta-electronics_reviews-kitchen_reviews-2-5
2021-04-21 23:48:37,790 INFO    : Use test dataset
2021-04-22 00:40:46,571 INFO    : [EVAL] step: 10000 | accuracy: 81.72%
2021-04-22 00:40:46,574 INFO    : RESULT: 81.72
